QLBES version12-12-2017,,,,,,,,
Starting_2108,hours,GMT,13_Dec2017,,,,,
wallets,1000,blocks,5000,,,,,
Using Python secrets module for cryptographically strong random numbers,,,,,,,,
useRetarget = True, retarget on every block,,,,,,,
Using target scaling, targetScalingFactor,1.05,starting step,16,,,,
Loading wallets with Mainnet distribuition,,,,,,,,
useDynamicWeights = False, wallet weights are fixed during the simulation run,,,,,,,
trueNetworkWeight,20026263,,,,,,,
block,wallet,wallet weight,true network weight,new network weight,network weight,target,difficulty,spacing
1176,33,105197,20026263,19707500,19965538.11,715026.0645,3770352.066,32
1177,3,800279,20026263,19713250,20429390.56,716542.8248,3762371.078,176
1178,47,78439,20026263,19718750,21188919.78,715529.5063,3767699.272,96
1179,27,119935,20026263,19724500,21354147.9,712493.8499,3783751.958,32
1180,0,1911538,20026263,19730250,20894415.45,717531.8125,3757185.331,288
1181,30,114338,20026263,19736000,20823753.59,717531.8125,3757185.331,128
1182,323,3152,20026263,19741750,20275619.15,721590.6808,3736051.576,256
1183,17,155605,20026263,19747500,19855539.28,725672.5089,3715036.696,256
1184,3,800279,20026263,19753250,19958772.77,726698.7384,3709790.395,160
1185,58,52806,20026263,19759000,19854950.54,725671.0576,3715044.126,96
1186,922,17528,20026263,19764750,19854360.42,722079.2617,3733523.649,16
1187,331,3344,20026263,19770500,19615651.51,722079.2617,3733523.649,128
1188,58,52806,20026263,19776000,20202055.48,720036.9658,3744113.328,64
1189,1,892220,20026263,19781750,20203436.14,717491.3162,3757397.391,48
1190,31,109767,20026263,19787500,20943649.62,714447.3368,3773406.186,32
1191,2,825187,20026263,19793250,20462842.49,717478.4021,3757465.022,224
1192,77,22372,20026263,19799000,20356564.55,715956.4397,3765452.548,80
1193,775,14000,20026263,19804750,20322648.11,712918.9721,3781495.662,32
1194,836,15464,20026263,19810500,19763701.73,717455.8438,3757583.165,272
1195,849,15776,20026263,19816250,19008158.15,728109.245,3702603.721,464
1196,15,167033,20026263,19822000,19454797.4,724505.381,3721021.363,16
1197,830,15320,20026263,19827750,19891215.22,720919.3547,3739530.618,16
1198,1,892220,20026263,19833500,20278238.93,717351.0779,3758131.943,16
1199,979,18896,20026263,19839250,20352099.18,719380.0008,3747532.593,192
1200,723,12752,20026263,19845000,20426889.54,717854.0047,3755499.004,80
1201,23,130124,20026263,19850750,20284837.23,720899.5229,3739633.492,224
1202,19,139439,20026263,19856500,21186588.15,717331.3442,3758235.328,16
1203,0,1911538,20026263,19862250,20922742.98,718852.9946,3750279.988,176
1204,2,825187,20026263,19868000,20966318.22,717836.4091,3755591.059,96
1205,0,1911538,20026263,19873750,21087512.76,714790.9656,3771592.157,32
1206,868,16232,20026263,19879500,20787991.01,726921.058,3708655.803,512
1207,35,105030,20026263,19885250,21176008.85,723323.0751,3727103.549,16
1208,738,13112,20026263,19891000,21027444.36,724345.982,3721840.207,160
1209,1,892220,20026263,19896500,20956416.06,724858.1588,3719210.396,144
1210,465,6560,20026263,19902250,20885506.27,723833.0809,3724477.467,96
1211,465,6560,20026263,19908000,19878247.62,734581.1769,3669982.413,464
1212,0,1911538,20026263,19913750,19180268.81,743930.628,3623859.401,416
1213,50,73136,20026263,19919500,19435470.15,741300.5038,3636716.805,48
1214,990,19160,20026263,19925000,19399499.04,740252.1736,3641867.051,96
1215,4,431691,20026263,19930750,19495044.22,738158.4782,3652196.757,64
1216,1,892220,20026263,19936500,19625641.03,737636.5348,3654781.011,112
1217,628,10472,20026263,19942000,19724822.2,735550.2373,3665147.346,64
1218,654,11096,20026263,19947750,19689505.11,733469.8407,3675543.084,64
1219,8,198284,20026263,19953250,19654112.56,731913.9563,3683356.461,80
1220,882,16568,20026263,19959000,19585150.53,732431.4843,3680753.842,144
1221,0,1911538,20026263,19964500,19286535.52,738128.3175,3652345.989,304
1222,698,12152,20026263,19970250,19250291.83,736562.5512,3660110.055,80
1223,847,15728,20026263,19975750,19376376.48,732916.8465,3678316.323,16
1224,31,109767,20026263,19981500,18708796.96,740172.1662,3642260.711,352
1225,625,10400,20026263,19987000,18640867.35,738602.0644,3650003.338,80
1226,597,9728,20026263,19992500,18483038.21,740168.8356,3642277.1,176
1227,7,209804,20026263,19998000,18808906.66,738598.7408,3650019.762,80
1228,927,17648,20026263,20003500,18895734.31,737031.9766,3657778.883,80
1229,4,431691,20026263,20009250,18889878.28,733383.9485,3675973.555,16
1230,49,77480,20026263,20014500,18884001.47,730791.1115,3689015.859,48
1231,2,825187,20026263,20020000,19227465.79,728207.4413,3702104.438,48
1232,827,15248,20026263,20025500,19386611.42,728207.4413,3702104.438,128
1233,801,14624,20026263,20031000,19616532.05,725632.9055,3715239.454,48
1234,581,9344,20026263,20036500,19447961.75,725632.9055,3715239.454,128
1235,50,73136,20026263,20041750,19056118.49,728198.3392,3702150.712,208
1236,45,81602,20026263,20047250,19374481.65,725108.9349,3717924.122,32
1237,17,155605,20026263,20052500,19671776.57,723058.0699,3728469.555,64
1238,7,209804,20026263,20058000,19910501.27,723569.336,3725835.059,144
1239,4,431691,20026263,20063250,20335838.78,723057.7084,3728471.419,112
1240,1,892220,20026263,20068500,20052767.53,723568.9742,3725836.922,144
1241,63,41151,20026263,20074000,19983472.52,724592.2289,3720575.37,160
1242,844,15656,20026263,20079250,19674209.52,725616.9307,3715321.247,160
1243,878,16472,20026263,20084500,20017603.98,726130.0061,3712696.042,144
1244,2,825187,20026263,20089750,20088635.93,722535.9386,3731163.886,16
1245,0,1911538,20026263,20094750,19914606.53,722025.0417,3733804.016,112
1246,445,6080,20026263,20100000,19880003.75,719982.8991,3744394.49,64
1247,523,7952,20026263,20105250,19914506.86,717946.5324,3755015.002,64
1248,78,22076,20026263,20110250,19341358.61,723530.702,3726034.006,304
1249,61,47045,20026263,20115500,19079686.44,729158.3051,3697276.683,304
1250,1,892220,20026263,20120500,18979891.58,729673.8846,3694664.229,144
1251,950,18200,20026263,20125500,19006287.17,726062.2762,3713042.377,16
1252,29,115146,20026263,20130500,19290401.42,726575.6665,3710418.783,144
1253,879,16496,20026263,20135500,19484650.62,723493.1465,3726227.419,32
1254,11,185594,20026263,20140500,19959511.56,720423.7041,3742103.41,32
1255,915,17360,20026263,20145500,20279143.77,719914.3007,3744751.281,112
1256,8,198284,20026263,20150500,20317492.54,720423.3439,3742105.281,144
1257,40,88540,20026263,20155500,20502401.82,716857.5221,3760719.413,16
1258,3,800279,20026263,20160250,20215491.08,717364.4039,3758062.13,144
1259,16,157617,20026263,20165250,20181614.76,717871.6441,3755406.725,144
1260,51,71332,20026263,20170000,19764056.1,721932.4347,3734282.975,256
1261,938,17912,20026263,20174750,19560154.18,722442.9049,3731644.372,144
1262,1,892220,20026263,20179500,19068111.88,727040.3849,3708047.113,272
1263,960,18440,20026263,20184500,19031669.12,730638.9585,3689784.084,240
1264,850,15800,20026263,20189000,18995150.62,729605.7056,3695009.482,96
1265,4,431691,20026263,20193750,18740412.26,730637.4973,3689791.463,160
1266,859,16016,20026263,20198500,19015291.32,730637.4973,3689791.463,128
1267,0,1911538,20026263,20203250,19700464.58,730637.4973,3689791.463,128
1268,0,1911538,20026263,20207750,19597912.09,728570.9956,3700257.101,64
1269,23,130124,20026263,20212500,19429350.61,727540.6672,3705497.33,96
1270,84,20941,20026263,20217000,18910973.3,732170.5883,3682065.413,272
1271,37,100167,20026263,20221500,19224684.26,729064.3317,3697753.248,32
1272,61,47045,20026263,20226000,18715661.9,735766.0013,3664072.538,336
1273,66,33801,20026263,20230500,18958547.4,734725.4979,3669261.524,96
1274,0,1911538,20026263,20235000,18283526.02,742518.2378,3630752.57,368
1275,7,209804,20026263,20239500,18482707.48,740418.1332,3641050.751,64
1276,508,7592,20026263,20244000,18208767.91,744082.9215,3623117.696,240
1277,3,800279,20026263,20248250,17525726.44,753553.307,3577583.663,416
1278,726,12824,20026263,20252750,18099554.49,755151.7937,3570010.721,176
1279,742,13208,20026263,20257000,18061273.86,751948.0386,3585221.135,32
1280,35,105030,20026263,20261500,18225709.41,749821.2631,3595390.172,64
1281,16,157617,20026263,20265750,18364595.88,747700.503,3605588.052,64
1282,402,5048,20026263,20270000,18446370.9,745057.0506,3618380.63,48
1283,5,258679,20026263,20274250,18682336.74,751905.7278,3585422.88,336
1284,861,16064,20026263,20278500,19214950.69,752437.3917,3582889.46,144
1285,243,1232,20026263,20282500,19244610.7,749245.1525,3598154.744,32
1286,8,198284,20026263,20286750,19406645.36,745536.6737,3616052.832,16
1287,572,9128,20026263,20290750,19305522.62,745009.5133,3618611.51,112
1288,932,17768,20026263,20295000,18947776.46,750277.3903,3593204.373,288
1289,741,13184,20026263,20299000,18848730.02,749746.8777,3595746.885,112
1290,934,17816,20026263,20303000,18148578.02,759819.4892,3548079.562,432
1291,955,18320,20026263,20307000,17881610.9,763043.0472,3533090.315,224
1292,25,127707,20026263,20311000,18042699.72,760345.3521,3545625.672,48
1293,589,9536,20026263,20314750,18445845.69,758732.4576,3553162.874,80
1294,932,17768,20026263,20318750,18529686.46,755513.5114,3568301.506,32
1295,4,431691,20026263,20322500,18224154.56,757116.1562,3560748.213,176
1296,42,84719,20026263,20326250,18157498.42,765681.727,3520914.637,384
1297,992,19208,20026263,20330250,17721281.04,772178.5845,3491290.815,320
1298,0,1911538,20026263,20334000,17092651.74,786374.5493,3428264.562,544
1299,0,1911538,20026263,20337500,17156865.35,783038.3306,3442871.051,32
1300,488,7112,20026263,20341250,17248531.17,779162.5885,3459996.719,16
1301,556,8744,20026263,20345000,17026589.33,779713.5254,3457551.924,144
1302,893,16832,20026263,20348500,16986669.51,777508.2194,3467358.843,64
1303,2,825187,20026263,20352000,16946659.72,775309.1507,3477193.578,64
1304,38,97994,20026263,20355500,16957776.23,774760.9385,3479654.002,112
1305,81,21849,20026263,20359000,16994790.76,770926.1663,3496962.638,16
1306,50,73136,20026263,20362500,17084366.25,768745.714,3506881.341,64
1307,1,892220,20026263,20365750,17362426.44,765484.2862,3521822.784,32
1308,96,14260,20026263,20369250,17296705.98,763319.2254,3531812,64
1309,774,13976,20026263,20372500,17046856,766017.8969,3519369.47,208
1310,12,181074,20026263,20375750,16751848.81,772517.6068,3489758.649,320
1311,762,13688,20026263,20379000,16686577.62,773063.8452,3487292.824,144
1312,3,800279,20026263,20382000,16822321.58,770330.7222,3499665.692,48
1313,54,57951,20026263,20385250,16909956.27,769241.3381,3504621.848,96
1314,61,47045,20026263,20388250,17051476.4,767065.6511,3514562.275,64
1315,751,13424,20026263,20391250,16934434.76,769777.5678,3502180.516,208
1316,974,18776,20026263,20394250,16371427.48,777942.0815,3465425.08,368
1317,0,1911538,20026263,20397000,16330580.9,777942.0815,3465425.08,128
1318,13,174947,20026263,20400000,16289651.33,776291.8597,3472791.794,80
1319,3,800279,20026263,20402750,16272548.5,774096.2313,3482641.939,64
1320,1,892220,20026263,20405500,16572550.52,773001.5221,3487573.986,96
1321,29,115146,20026263,20408250,16860820.52,772454.9416,3490041.755,112
1322,571,9104,20026263,20410750,17003099.67,769723.9713,3502424.376,48
1323,661,11264,20026263,20413500,16433184.23,777887.9166,3465666.38,368
1324,11,185594,20026263,20416000,16590601.07,774587.7027,3480432.223,32
1325,580,9320,20026263,20418500,16550814.72,771849.1922,3492780.75,48
1326,27,119935,20026263,20420750,16510923.83,769120.3635,3505173.089,48
1327,3,800279,20026263,20423250,16620557.26,765857.3462,3520107.254,32
1328,906,17144,20026263,20425500,16506133.34,768564.991,3507705.96,208
1329,20,139336,20026263,20427750,16466236.18,765304.33,3522650.917,32
1330,0,1911538,20026263,20430000,16550433.97,763680.9161,3530139.281,80
1331,0,1911538,20026263,20432000,16712533.91,760440.9759,3545179.817,32
1332,889,16736,20026263,20434000,17010617.94,758290.1794,3555235.282,64
1333,528,8072,20026263,20436000,17131972.27,756145.4662,3565319.268,64
1334,3,800279,20026263,20438000,17561274.43,752402.8335,3583054.024,16
1335,22,134073,20026263,20440000,17956763.51,748678.7254,3600876.996,16
1336,38,97994,20026263,20441750,17660171.03,752913.7827,3580622.459,256
1337,1,892220,20026263,20443500,17652283.65,753978.5362,3575565.975,160
1338,0,1911538,20026263,20445250,17701664.46,752912.277,3580629.62,96
1339,445,6080,20026263,20446750,17780665.18,751315.15,3588241.233,80
1340,5,258679,20026263,20448500,17432420.51,755565.1208,3568057.77,256
1341,22,134073,20026263,20450000,17015052.3,762510.3897,3535558.382,336
1342,841,15584,20026263,20451500,17384031.77,759814.5779,3548102.496,48
1343,0,1911538,20026263,20452750,17402655.94,756053.7845,3565751.611,16
1344,44,83613,20026263,20454250,17938852.85,752846.2026,3580943.878,32
1345,766,13784,20026263,20455500,18052083.02,749652.2289,3596200.873,32
1346,13,174947,20026263,20456750,18602732.43,748062.0174,3603845.587,80
1347,0,1911538,20026263,20457750,18287884.31,751235.694,3588620.751,224
1348,380,4520,20026263,20458750,18470547.76,751766.8841,3586085.071,144
1349,52,70054,20026263,20460000,19184853.1,749640.6211,3596256.558,64
1350,45,81602,20026263,20460750,19426166.28,747520.3718,3606456.896,64
1351,858,15992,20026263,20461750,19291116.47,746463.2456,3611564.288,96
1352,43,84177,20026263,20462750,19224916.31,745407.6144,3616678.912,96
1353,784,14216,20026263,20463500,19158798.1,744353.476,3621800.78,96
1354,483,6992,20026263,20464250,18476487.21,752774.6572,3581284.218,384
1355,3,800279,20026263,20464750,18989982.03,751177.8222,3588897.223,80
1356,38,97994,20026263,20465500,18696419.5,756489.3147,3563698.717,288
1357,2,825187,20026263,20466000,18535650.57,755954.4097,3566220.351,112
1358,22,134073,20026263,20466500,18439001.68,753816.3028,3576335.494,64
1359,507,7568,20026263,20467000,18311871.21,755415.3475,3568765.195,176
1360,14,168298,20026263,20467500,18782957.54,752744.6197,3581427.126,48
1361,8,198284,20026263,20467750,18912823.55,750083.3342,3594133.981,48
1362,59,51368,20026263,20468000,19247559.66,754856.7123,3571406.276,272
1363,0,1911538,20026263,20468250,19596226.92,752721.7101,3581536.129,64
1364,360,4040,20026263,20468500,19670867.13,748996.0237,3599351.551,16
1365,3,800279,20026263,20468500,19498694.49,750055.2368,3594268.619,160
1366,0,1911538,20026263,20468750,19432186.05,747933.8149,3604463.318,64
1367,12,181074,20026263,20468750,19788369.55,744231.8267,3622392.786,16
1368,3,800279,20026263,20468750,20656793.78,740548.162,3640411.439,16
1369,3,800279,20026263,20468750,21313130.1,738453.6295,3650737.016,64
1370,0,1911538,20026263,20468500,22194011.3,741586.5422,3635314.082,224
1371,424,5576,20026263,20468250,21944213.9,741586.5422,3635314.082,128
1372,42,84719,20026263,20468250,21570562.44,742635.2769,3630180.364,160
1373,718,12632,20026263,20468000,21627619.31,742635.2769,3630180.364,128
1374,21,137152,20026263,20467500,21771483.77,738959.5145,3648237.755,16
1375,578,9272,20026263,20467250,21917778.92,735301.9458,3666384.967,16
1376,38,97994,20026263,20466750,21977980.15,734262.0986,3671577.227,96
1377,0,1911538,20026263,20466500,21310387.84,738934.7936,3648359.806,272
1378,813,14912,20026263,20466000,21364540.55,736322.3319,3661304.137,48
1379,8,198284,20026263,20465500,21130447.52,736322.3319,3661304.137,128
1380,4,431691,20026263,20464750,21141956.46,734239.7515,3671688.974,64
1381,52,70054,20026263,20464250,21611184.41,731124.7163,3687332.599,32
1382,21,137152,20026263,20463500,22237475.35,730090.7765,3692554.525,96
1383,7,209804,20026263,20463000,22528317.44,727509.5823,3705655.658,48
1384,40,88540,20026263,20462250,22501427.82,725451.9274,3716166.293,64
1385,11,185594,20026263,20461500,22025405.5,730068.5563,3692666.91,272
1386,947,18128,20026263,20460750,21910159.54,729552.3332,3695279.8,112
1387,82,21531,20026263,20460000,21925444.94,732131.6237,3682261.376,208
1388,29,115146,20026263,20459000,21984233.58,739379.1703,3646167.093,352
1389,47,78439,20026263,20458250,22220712.78,736765.1375,3659103.645,48
1390,968,18632,20026263,20457250,22417621.3,733118.4301,3677304.906,16
1391,23,130124,20026263,20456250,22480931.79,730526.5318,3690351.935,48
1392,12,181074,20026263,20455250,22095217.93,734142.3605,3672176.059,240
1393,40,88540,20026263,20454250,22199497.45,732585.0495,3679982.279,80
1394,0,1911538,20026263,20453250,22171415.64,730513.0395,3690420.094,64
1395,2,825187,20026263,20452250,22456484.63,735161.8762,3667083.519,272
1396,910,17240,20026263,20451250,21684590.91,741399.7708,3636229.88,320
1397,15,167033,20026263,20450250,21782655.49,737730.1238,3654317.362,16
1398,555,8720,20026263,20449000,21753605.33,735643.5616,3664682.382,64
1399,19,139439,20026263,20448000,21682188.05,733562.901,3675076.801,64
1400,479,6896,20026263,20446750,22170039.73,730450.7374,3690734.86,32
1401,575,9200,20026263,20445500,21967061.52,729934.244,3693346.383,112
1402,962,18488,20026263,20444500,21228307.32,737676.1664,3654584.658,368
1403,320,3080,20026263,20443250,21157906.37,735589.7569,3664950.436,64
1404,976,18824,20026263,20442000,20658208.52,740270.9008,3641774.919,272
1405,913,17312,20026263,20440750,20741880.56,737130.2783,3657291.092,32
1406,0,1911538,20026263,20439500,20749218.48,733481.7635,3675483.337,16
1407,891,16784,20026263,20438250,20084638.91,739186.7658,3647116.162,304
1408,46,81444,20026263,20437000,20531285.8,737096.0837,3657460.756,64
1409,86,19438,20026263,20435750,20276421.18,741786.8136,3634332.601,272
1410,1,892220,20026263,20434500,19813472.92,747556.4123,3606283.025,304
1411,1,892220,20026263,20433250,19745384.24,747027.8237,3608834.791,112
1412,657,11168,20026263,20431750,20247811.5,743858.5348,3624210.618,32
1413,32,105412,20026263,20430500,20779026.07,743332.5609,3626775.069,112
1414,45,81602,20026263,20429250,20709324.48,741755.755,3634484.777,80
1415,984,19016,20026263,20428000,20526161.19,740706.781,3639631.861,96
1416,45,81602,20026263,20426500,20494374.46,738088.0546,3652545.226,48
1417,13,174947,20026263,20425250,20350910.89,737044.2673,3657717.887,96
1418,63,41151,20026263,20424000,20172304.07,738086.5785,3652552.531,160
1419,44,83613,20026263,20422500,20433761.39,737564.6859,3655137.036,112
1420,60,50804,20026263,20421250,20665183.99,734957.0681,3668105.413,48
1421,7,209804,20026263,20419750,20709871.55,732358.6694,3681119.802,48
1422,678,11672,20026263,20418500,20267063.95,736501.4089,3660413.907,256
1423,6,223571,20026263,20417250,20271237.91,735459.8655,3665597.712,96
1424,781,14144,20026263,20415750,20312151.34,733899.7597,3673389.948,80
1425,797,14528,20026263,20414500,20098065.52,735975.4882,3663029.602,192
1426,5,258679,20026263,20413000,20656436.87,736495.8881,3660441.346,144
1427,63,41151,20026263,20411750,20586858.7,735975.1202,3663031.434,112
1428,89,17013,20026263,20410500,20368420.38,744301.5137,3622053.631,384
1429,512,7688,20026263,20409000,20153490.82,746932.9491,3609293.181,208
1430,0,1911538,20026263,20407750,19628128.63,752742.5743,3581436.858,304
1431,28,118654,20026263,20406500,19871750.88,750613.5517,3591595.161,64
1432,0,1911538,20026263,20405000,19733741.89,750082.8014,3594136.534,112
1433,54,57951,20026263,20403750,19562739.11,750082.8014,3594136.534,128
1434,747,13328,20026263,20402500,19460996.43,756447.301,3563896.647,320
1435,0,1911538,20026263,20401000,19528153.08,753238.0496,3579081.011,32
1436,583,9392,20026263,20399750,18903029.34,759629.3218,3548967.796,320
1437,21,137152,20026263,20398500,18867625.77,761240.6974,3541455.428,176
1438,809,14816,20026263,20397250,18737764.2,761240.6974,3541455.428,128
1439,0,1911538,20026263,20396000,18186264.33,767161.6079,3514122.673,304
1440,995,19280,20026263,20394500,17803194.62,770416.3151,3499276.881,224
1441,820,15080,20026263,20393250,17487852.18,774229.583,3482042.096,240
1442,17,155605,20026263,20392000,17207829.98,782988.7651,3443088.994,384
1443,978,18872,20026263,20390750,17090042.14,785203.3348,3433378.185,192
1444,455,6320,20026263,20389500,17234989.88,782982.5016,3443116.538,64
1445,579,9296,20026263,20388250,17302763.39,781321.5876,3450435.829,80
1446,788,14312,20026263,20387000,17131454.61,780769.1241,3452877.319,112
1447,2,825187,20026263,20385750,16732982.86,785185.7074,3433455.263,256
1448,3,800279,20026263,20384500,16844518.47,781299.3366,3450534.096,16
1449,15,167033,20026263,20383250,17115165.31,780194.4409,3455420.673,96
1450,853,15872,20026263,20382000,17128802.14,776884.4416,3470142.863,32
1451,11,185594,20026263,20380750,17222373.21,774687.1371,3479985.494,64
1452,2,825187,20026263,20379500,16568100.46,786190.3578,3429067.748,464
1453,0,1911538,20026263,20378250,16405599.01,786190.3578,3429067.748,128
1454,1,892220,20026263,20377000,16221210.77,788969.8889,3416987.185,208
1455,534,8216,20026263,20375750,16133016.54,787854.1457,3421826.254,96
1456,0,1911538,20026263,20374500,16045084.56,787297.0631,3424247.5,112
1457,33,105197,20026263,20373250,16335488.55,785070.3081,3433959.955,64
1458,931,17744,20026263,20372000,16440795.56,781739.6227,3448590.71,32
1459,255,1520,20026263,20370750,16376324.09,785608.9367,3431605.566,240
1460,325,3200,20026263,20369500,16810279.38,783386.9563,3441338.892,64
1461,10,193253,20026263,20368250,16796882.53,780617.3365,3453548.716,48
1462,0,1911538,20026263,20367000,16580855.36,781169.3021,3451108.476,144
1463,1,892220,20026263,20365750,16566238.36,778407.5227,3463352.963,48
1464,22,134073,20026263,20364500,16753895.85,777857.1197,3465803.593,112
1465,565,8960,20026263,20363250,16714892.82,776757.0919,3470711.794,96
1466,1,892220,20026263,20362000,16625186.04,776207.8559,3473167.631,112
1467,811,14864,20026263,20360750,16893222.36,775110.1605,3478086.261,96
1468,710,12440,20026263,20359500,17335620.1,772369.8028,3490426.464,48
1469,23,130124,20026263,20358250,17325709.3,768546.8658,3507788.685,16
1470,14,168298,20026263,20356750,17343251.43,765829.7123,3520234.272,48
1471,971,18704,20026263,20355500,17333438.19,763663.6746,3530218.982,64
1472,26,122460,20026263,20354250,17296131.75,760963.7854,3542744.151,48
1473,907,17168,20026263,20352750,17396379.08,758273.4414,3555313.76,48
1474,18,146705,20026263,20351500,17555017.51,763098.9397,3532831.537,272
1475,88,17961,20026263,20350250,17378759.43,764178.0968,3527842.543,160
1476,44,83613,20026263,20348750,17204887.97,772283.2207,3490817.783,368
1477,61,47045,20026263,20347250,17140514.75,770098.9301,3500719.056,64
1478,413,5312,20026263,20346000,16890540.94,771187.9864,3495775.411,160
1479,40,88540,20026263,20344500,17281194.87,769006.7936,3505690.746,64
1480,6,223571,20026263,20343000,17354328.32,765200.5023,3523128.895,16
1481,43,84177,20026263,20341750,17484838.26,767364.7603,3513192.343,192
1482,742,13208,20026263,20340250,17675728.36,769535.1397,3503283.815,192
1483,0,1911538,20026263,20338750,17726276.96,767902.7512,3510731.008,80
1484,0,1911538,20026263,20337250,17575876.64,767359.776,3513215.162,112
1485,77,22372,20026263,20335750,17568194.53,766817.1847,3515701.074,112
1486,788,14312,20026263,20334250,17447424.62,767359.3923,3513216.919,144
1487,465,6560,20026263,20332500,17552099.52,764103.846,3528185.356,32
1488,944,18056,20026263,20331000,17572835.83,760862.1115,3543217.568,32
1489,47,78439,20026263,20329500,17651183.78,758172.127,3555788.856,48
1490,29,115146,20026263,20327750,17529757.24,761388.696,3540767.041,224
1491,7,209804,20026263,20326250,17694022.03,757620.1114,3558379.668,16
1492,33,105197,20026263,20324750,17346663.68,761370.043,3540853.787,240
1493,56,55351,20026263,20323000,17393744.36,757601.5506,3558466.845,16
1494,723,12752,20026263,20321250,17698756.55,755994.4765,3566031.345,80
1495,41,88514,20026263,20319750,17634350.94,755994.4765,3566031.345,128
1496,34,105168,20026263,20318000,17627394.06,754390.8113,3573611.926,80
1497,90,16285,20026263,20316250,17913016.88,751190.2846,3588837.682,32
1498,27,119935,20026263,20314500,18118313.2,748003.3363,3604128.31,32
1499,4,431691,20026263,20312750,18236788.15,745358.8133,3616915.708,48
1500,2,825187,20026263,20311000,18838539.06,743777.7092,3624604.457,80
1501,758,13592,20026263,20309250,18838728.59,746407.2927,3611835.021,208
1502,833,15392,20026263,20307250,19310930.65,744823.9646,3619512.97,80
1503,44,83613,20026263,20305500,19244968.51,743770.6515,3624638.851,96
1504,643,10832,20026263,20303750,19455639.21,740089.2695,3642668.677,16
1505,3,800279,20026263,20301750,19636322.26,737472.7262,3655592.816,48
1506,912,17288,20026263,20300000,19967816.5,739037.1018,3647854.747,176
1507,19,139439,20026263,20298250,19435519.23,743740.1839,3624787.336,272
1508,2,825187,20026263,20296250,20089417.71,740584.8429,3640231.131,32
1509,11,185594,20026263,20294250,20477203.52,736919.2294,3658338.516,16
1510,6,223571,20026263,20292500,20682457.48,734313.8936,3671318.252,48
1511,764,13736,20026263,20290500,21096148.67,734833.1185,3668724.139,144
1512,452,6248,20026263,20288500,21274741.98,735872.3027,3663543.24,160
1513,51,71332,20026263,20286500,21372370.54,738473.9372,3650636.623,208
1514,0,1911538,20026263,20284750,22127655.22,737951.7707,3653219.773,112
1515,0,1911538,20026263,20282750,22559778.6,735342.7844,3666181.347,48
1516,17,155605,20026263,20280750,21766872.38,742622.119,3630244.684,352
1517,49,77480,20026263,20278750,21739390.61,741571.9198,3635385.764,96
1518,601,9824,20026263,20276750,21328976.24,746291.133,3612397.201,272
1519,0,1911538,20026263,20274750,20851974.84,756845.0115,3562023.874,448
1520,323,3152,20026263,20272750,19982415.68,765407.5147,3522176.028,384
1521,934,17816,20026263,20270750,19806348.44,767031.1474,3514720.372,176
1522,12,181074,20026263,20268750,19703500.33,765404.0706,3522191.877,80
1523,72,31019,20026263,20266750,19671957.83,763780.4452,3529679.265,80
1524,440,5960,20026263,20264500,19747012.73,774041.5931,3482887.772,432
1525,41,88514,20026263,20262500,19644421.1,775683.541,3475515.281,176
1526,0,1911538,20026263,20260500,19935305.55,774038.1101,3482903.445,80
1527,474,6776,20026263,20258500,19653063.33,777321.9911,3468189.542,224
1528,17,155605,20026263,20256500,19799323.35,774573.8136,3480494.632,48
1529,10,193253,20026263,20254500,19660974.52,774573.8136,3480494.632,128
1530,712,12488,20026263,20252500,19214461.98,778407.6596,3463352.354,240
1531,3,800279,20026263,20250250,19559959.92,776756.4502,3470714.662,80
1532,743,13232,20026263,20248250,19598085.85,774010.2721,3483028.71,48
1533,969,18656,20026263,20246250,19120641.56,778935.9164,3461003.586,272
1534,0,1911538,20026263,20244250,19290149.16,776732.8097,3470820.295,64
1535,2,825187,20026263,20242250,18989610.99,778929.6853,3461031.273,192
1536,0,1911538,20026263,20240000,19089064.03,776726.5962,3470848.061,64
1537,723,12752,20026263,20238000,19190116.39,773980.5237,3483162.583,48
1538,13,174947,20026263,20236000,19057047.19,775622.3421,3475789.51,176
1539,4,431691,20026263,20234000,18990935.18,775622.3421,3475789.51,128
1540,17,155605,20026263,20232000,18859514.63,775073.9084,3478248.94,112
1541,0,1911538,20026263,20229750,18761354.72,772881.7248,3488114.563,64
1542,628,10472,20026263,20227750,18227163.63,779439.6747,3458766.711,320
1543,877,16448,20026263,20225750,18101788.2,779439.6747,3458766.711,128
1544,54,57951,20026263,20223750,17801223.2,782195.3391,3446581.519,208
1545,747,13328,20026263,20221500,17736566.6,780536.095,3453908.176,80
1546,31,109767,20026263,20219500,18173201.43,777224.6461,3468623.922,32
1547,731,12944,20026263,20217500,18078171.95,779972.4794,3456404.003,208
1548,6,223571,20026263,20215250,18629608.36,778317.9505,3463751.54,80
1549,22,134073,20026263,20213250,18314370.39,781619.9889,3449118.547,224
1550,23,130124,20026263,20211250,18528790.5,778856.6161,3461355.973,48
1551,29,115146,20026263,20209000,18277448.64,781059.4985,3451593.643,192
1552,16,157617,20026263,20207000,17853815.94,784925.4462,3434593.71,240
1553,4,431691,20026263,20205000,17935916.65,785480.458,3432166.864,144
1554,861,16064,20026263,20202750,18079271.1,784925.0537,3434595.427,112
1555,0,1911538,20026263,20200750,18134680.6,782149.9961,3446781.325,48
1556,419,5456,20026263,20198500,18069842.12,782703.0454,3444345.868,144
