QLBES version12-12-2017,,,,,,,,
Starting_2108,hours,GMT,13_Dec2017,,,,,
wallets,1000,blocks,5000,,,,,
Using Python secrets module for cryptographically strong random numbers,,,,,,,,
useRetarget = True, retarget on every block,,,,,,,
Using target scaling, targetScalingFactor,1.05,starting step,16,,,,
Loading wallets with Mainnet distribuition,,,,,,,,
useDynamicWeights = False, wallet weights are fixed during the simulation run,,,,,,,
trueNetworkWeight,20026263,,,,,,,
block,wallet,wallet weight,true network weight,new network weight,network weight,target,difficulty,spacing
88,0,1911538,20026263,19129500,20045971.12,748490.6241,3601781.924,320
89,29,115146,20026263,19130500,19832634.72,747961.375,3604330.504,112
90,532,8168,20026263,19131500,19171941.09,755894.499,3566503.002,368
91,61,47045,20026263,19132500,18972297.38,755894.499,3566503.002,128
92,23,130124,20026263,19133500,18743213.68,758032.4364,3556444.118,192
93,828,15272,20026263,19134500,19343914.39,755352.4561,3569062.334,48
94,3,800279,20026263,19135500,19277685.49,755352.4561,3569062.334,128
95,21,137152,20026263,19136500,19314132.31,752681.9507,3581725.319,48
96,815,14960,20026263,19137500,19247940.53,753746.3763,3576667.278,160
97,659,11216,20026263,19138750,19114268.88,752680.4454,3581732.482,96
98,17,155605,20026263,19139750,19388598.77,750551.5984,3591891.624,64
99,596,9704,20026263,19141000,19460845.89,748959.4791,3599527.178,80
100,97,13753,20026263,19142250,18725394.83,756903.1893,3561750.086,368
101,573,9152,20026263,19143250,18789144.14,756903.1893,3561750.086,128
102,22,134073,20026263,19144500,19817218.59,754227.2014,3574387.128,48
103,4,431691,20026263,19145750,19822315.86,750494.0634,3592166.989,16
104,885,16640,20026263,19147000,19791309.73,748902.0661,3599803.128,80
105,32,105412,20026263,19148250,20014929.73,748902.0661,3599803.128,128
106,27,119935,20026263,19149500,19623536.38,752608.8467,3582073.227,240
107,19,139439,20026263,19151000,20211069.21,749415.88,3597335.034,32
108,35,105030,20026263,19152250,20407844.73,748356.0732,3602429.507,96
109,39,91384,20026263,19153750,19642292.57,756822.5376,3562129.649,384
110,936,17864,20026263,19155000,19789058.79,753076.5536,3579848.539,16
111,57,53241,20026263,19156500,20012020.45,754141.5373,3574793.148,160
112,87,18650,20026263,19158000,20091729.56,758407.4961,3554685.329,256
113,5,258679,20026263,19159500,19987399.12,757871.2348,3557200.585,112
114,971,18704,20026263,19161000,19597533.8,760014.7632,3547167.938,192
115,793,14432,20026263,19162500,19850890.12,759477.3654,3549677.874,112
116,830,15320,20026263,19164000,20490039.92,755718.2411,3567334.826,16
117,10,193253,20026263,19165500,20575757.57,753046.4425,3579991.682,48
118,14,168298,20026263,19167250,20623519.73,749851.6193,3595244.62,32
119,0,1911538,20026263,19168750,20477802.81,753563.0999,3577537.17,240
120,4,431691,20026263,19170500,19961803.4,757825.7867,3557413.917,256
121,2,825187,20026263,19172000,19750420.32,762112.5862,3537403.854,256
122,27,119935,20026263,19173750,19754472.44,758340.4186,3554999.752,16
123,949,18176,20026263,19175500,19722875.94,755123.1355,3570146.209,32
124,853,15872,20026263,19177250,19979176.15,754055.2577,3575202.179,96
125,61,47045,20026263,19179000,20057786.44,753522.0738,3577731.952,112
126,1,892220,20026263,19180750,20476627.44,753522.0738,3577731.952,128
127,988,19112,20026263,19182750,20332347.37,755120.4944,3570158.697,176
128,23,130124,20026263,19184500,20685384.88,751382.9349,3587917.525,16
129,0,1911538,20026263,19186250,20694441.3,752445.5235,3582850.739,160
130,59,51368,20026263,19188250,20095887.27,757233.9341,3560194.385,272
131,36,104336,20026263,19190250,20175602.15,753485.9139,3577903.648,16
132,28,118654,20026263,19192000,19816789.35,757215.3828,3560281.607,240
133,20,139336,20026263,19194000,19503408.21,758286.2195,3555253.848,160
134,498,7352,20026263,19196000,19645540.09,756677.6929,3562811.518,80
135,0,1911538,20026263,19198000,20569978.07,755607.6166,3567857.1,96
136,38,97994,20026263,19200000,20772918.86,751867.6461,3585604.48,16
137,496,7304,20026263,19202250,21142343.49,748677.824,3600881.332,32
138,8,198284,20026263,19204250,20293791.74,757147.9285,3560598.793,384
139,606,9944,20026263,19206250,20262810.5,758218.6697,3555570.586,160
140,2,825187,20026263,19208500,20231770.03,755538.031,3568185.703,48
141,26,122460,20026263,19210750,20578836.52,751798.4049,3585934.717,16
142,0,1911538,20026263,19212750,20395919.18,752861.581,3580870.731,160
143,2,825187,20026263,19215000,20289961.18,751264.5616,3588482.857,80
144,12,181074,20026263,19217250,20221686.47,749670.9298,3596111.164,80
145,77,22372,20026263,19219500,20153529.99,748080.6786,3603755.687,80
146,543,8432,20026263,19221750,20196023.1,748080.6786,3603755.687,128
147,40,88540,20026263,19224000,19452166.64,756015.068,3565934.218,368
148,1,892220,20026263,19226250,19839308.32,752807.6503,3581127.262,32
149,696,12104,20026263,19228750,19595805.33,753339.952,3578596.878,144
150,953,18272,20026263,19231000,19528594.73,750676.5617,3591293.691,48
151,971,18704,20026263,19233250,19090323.86,755984.5098,3566078.359,288
152,92,15202,20026263,19235750,18925671.62,755984.5098,3566078.359,128
153,928,17672,20026263,19238250,18295025.39,763468.1818,3531122.926,352
154,52,70054,20026263,19240500,18351034.7,761308.8233,3541138.52,64
155,15,167033,20026263,19243000,18438626.98,758078.9468,3556225.92,32
156,34,105168,20026263,19245500,18465414.51,756470.8599,3563785.656,80
157,29,115146,20026263,19248000,18430454.98,754331.2923,3573893.894,64
158,2,825187,20026263,19250500,18303522.14,755931.4294,3566328.764,176
159,27,119935,20026263,19253000,18177553.36,758603.9818,3553764.632,208
160,4,431691,20026263,19255500,18634425.93,756994.7812,3561319.136,80
161,2,825187,20026263,19258250,18823046.17,753247.9447,3579033.994,16
162,464,6536,20026263,19260750,19488909.52,750584.8797,3591732.358,48
163,59,51368,20026263,19263250,19490820.61,750584.8797,3591732.358,128
164,759,13616,20026263,19266000,19355417.15,754830.7195,3571529.258,256
165,27,119935,20026263,19268500,19288612.98,753229.523,3579121.526,80
166,10,193253,20026263,19271250,19529279.03,749501.3232,3596924.938,16
167,64,38078,20026263,19273750,19359412.88,749501.3232,3596924.938,128
168,795,14480,20026263,19276500,19497907.57,748441.3955,3602018.83,96
169,42,84719,20026263,19279250,19430904.9,748441.3955,3602018.83,128
170,913,17312,20026263,19282000,19028829,752675.1103,3581757.87,256
171,33,105197,20026263,19284750,19160748.14,748949.6546,3599574.395,16
172,736,13064,20026263,19287500,19781225.16,747360.9334,3607226.28,80
173,21,137152,20026263,19290250,19928103.59,745247.1319,3617457.732,64
174,1,892220,20026263,19293000,19932429.92,742612.3533,3630292.424,48
175,978,18872,20026263,19295750,19828993.41,740511.9825,3640589.3,64
176,750,13400,20026263,19298500,19726078.56,740511.9825,3640589.3,128
177,0,1911538,20026263,19301250,19943690.12,737370.3372,3656100.421,32
178,785,14240,20026263,19304250,20278662.71,736327.5649,3661278.116,96
179,0,1911538,20026263,19307000,19990386.48,737368.8625,3656107.733,160
180,3,800279,20026263,19309750,19779529.81,739454.4029,3645796.13,192
181,0,1911538,20026263,19312750,19818402.09,747297.2991,3607533.445,368
182,46,81444,20026263,19315500,19715507.65,745183.6777,3617765.768,64
183,3,800279,20026263,19318500,20041110.06,741495.3017,3635761.405,16
184,889,16736,20026263,19321500,20569353.2,738349.4846,3651251.956,32
185,63,41151,20026263,19324250,20424657.27,739915.72,3643523.076,176
186,855,15920,20026263,19327250,20469365.44,741485.2778,3635810.556,176
187,55,57735,20026263,19330250,20668083.36,738339.5033,3651301.316,32
188,5,258679,20026263,19333250,20676251.72,734685.0034,3669463.767,16
189,866,16184,20026263,19336250,20684449.05,732087.5665,3682482.975,48
190,987,19088,20026263,19339250,19981754.32,738817.0262,3648941.354,336
191,578,9272,20026263,19342250,20131504.42,740384.2534,3641217.364,176
192,692,12008,20026263,19345250,20099820.67,745095.9086,3618191.925,272
193,971,18704,20026263,19348250,19501704.09,758267.1285,3555343.36,528
194,707,12368,20026263,19351250,19332525.81,757194.8044,3560378.365,96
195,343,3632,20026263,19354250,18870836.46,761478.0347,3540351.628,256
196,1,892220,20026263,19357250,18583071.8,765247.0616,3522914.54,240
197,21,137152,20026263,19360500,18705150.47,762541.5744,3535413.793,48
198,20,139336,20026263,19363500,18926400.58,758767.2834,3552999.792,16
199,0,1911538,20026263,19366500,19088103.57,757694.252,3558031.479,96
200,5,258679,20026263,19369750,19021463.82,755015.4673,3570655.326,48
201,966,18584,20026263,19372750,18922437.49,757684.7813,3558075.952,208
202,47,78439,20026263,19376000,19385553.25,755006.0301,3570699.958,48
203,2,825187,20026263,19379000,19184319.73,754472.174,3573226.546,112
204,776,14024,20026263,19382250,19284451.86,756606.0886,3563148.699,192
205,636,10664,20026263,19385500,19184186.9,759281.0261,3550595.77,208
206,33,105197,20026263,19388500,19284321.67,756059.7526,3565723.464,32
207,19,139439,20026263,19391750,19454359.78,752317.5441,3583460.23,16
208,873,16352,20026263,19395000,19218594.01,752317.5441,3583460.23,128
209,843,15632,20026263,19398250,19085596.35,751253.6339,3588535.055,96
210,3,800279,20026263,19401250,19803143.97,748597.6196,3601267.129,48
211,0,1911538,20026263,19404500,19457486.96,754949.5174,3570967.247,320
212,51,71332,20026263,19407750,19424439.75,752814.2527,3581095.855,64
213,26,122460,20026263,19411000,19425413.95,749088.1083,3598909.087,16
214,18,146705,20026263,19414250,19257106.09,752795.8097,3581183.589,240
215,883,16592,20026263,19417500,19123800.41,753328.103,3578653.165,144
216,32,105412,20026263,19420750,18926495.52,754926.1121,3571077.96,176
